JournalID,LineNumber,PostingDate,EntityID,AccountCode,Debit,Credit,Amount,Description,IntercompanyEntityID,IsIntercompany
JNL1006,3,2024-07-28,ENT001,100,0.00,75000.00,-75000.00,Monthly Payroll - M1,,FALSE
JNL1006,4,2024-07-28,ENT001,330,0.00,9000.00,-9000.00,Monthly Payroll - M1,,FALSE
JNL1007,1,2024-07-28,ENT001,820,12000.00,0.00,12000.00,Operating Costs & Rent - M1,,FALSE
JNL1007,2,2024-07-28,ENT001,830,3500.00,0.00,3500.00,Operating Costs & Rent - M1,,FALSE
JNL1007,3,2024-07-28,ENT001,100,0.00,15500.00,-15500.00,Operating Costs & Rent - M1,,FALSE
JNL1008,1,2024-07-15,ENT002,100,280000.00,0.00,280000.00,Food Retailing Sales - M1,,FALSE
JNL1008,2,2024-07-15,ENT002,600,0.00,280000.00,-280000.00,Food Retailing Sales - M1,,FALSE
JNL1009,1,2024-07-15,ENT002,700,162400.00,0.00,162400.00,Produce Inventory Purchase - M1,,FALSE
JNL1009,2,2024-07-15,ENT002,100,0.00,162400.00,-162400.00,Produce Inventory Purchase - M1,,FALSE
JNL1010,1,2024-07-28,ENT002,800,45000.00,0.00,45000.00,Monthly Payroll - M1,,FALSE
JNL1010,2,2024-07-28,ENT002,805,5400.00,0.00,5400.00,Monthly Payroll - M1,,FALSE
JNL1010,3,2024-07-28,ENT002,100,0.00,45000.00,-45000.00,Monthly Payroll - M1,,FALSE
JNL1010,4,2024-07-28,ENT002,330,0.00,5400.00,-5400.00,Monthly Payroll - M1,,FALSE
JNL1011,1,2024-07-28,ENT002,820,8500.00,0.00,8500.00,Store Operating Costs - M1,,FALSE
JNL1011,2,2024-07-28,ENT002,810,4200.00,0.00,4200.00,Store Operating Costs - M1,,FALSE
JNL1011,3,2024-07-28,ENT002,100,0.00,12700.00,-12700.00,Store Operating Costs - M1,,FALSE
JNL1012,1,2024-07-15,ENT003,110,190000.00,0.00,190000.00,Freight Service Revenue - M1,,FALSE
JNL1012,2,2024-07-15,ENT003,600,0.00,190000.00,-190000.00,Freight Service Revenue - M1,,FALSE
JNL1013,1,2024-07-15,ENT003,710,53200.00,0.00,53200.00,Fleet Fuel & Maintenance - M1,,FALSE
JNL1013,2,2024-07-15,ENT003,810,6500.00,0.00,6500.00,Fleet Fuel & Maintenance - M1,,FALSE
JNL1013,3,2024-07-15,ENT003,100,0.00,59700.00,-59700.00,Fleet Fuel & Maintenance - M1,,FALSE
JNL1014,1,2024-07-28,ENT003,800,60000.00,0.00,60000.00,Driver Payroll - M1,,FALSE
JNL1014,2,2024-07-28,ENT003,805,7200.00,0.00,7200.00,Driver Payroll - M1,,FALSE
JNL1014,3,2024-07-28,ENT003,100,0.00,60000.00,-60000.00,Driver Payroll - M1,,FALSE
JNL1014,4,2024-07-28,ENT003,330,0.00,7200.00,-7200.00,Driver Payroll - M1,,FALSE
JNL1015,1,2024-07-28,ENT003,890,4500.00,0.00,4500.00,Vehicle Depreciation - M1,,FALSE
JNL1015,2,2024-07-28,ENT003,210,0.00,4500.00,-4500.00,Vehicle Depreciation - M1,,FALSE
JNL1016,1,2024-07-15,ENT004,100,25000.00,0.00,25000.00,Property Rent Collection - M1,,FALSE
JNL1016,2,2024-07-15,ENT004,620,0.00,25000.00,-25000.00,Property Rent Collection - M1,,FALSE
JNL1017,1,2024-07-28,ENT004,895,5200.00,0.00,5200.00,Bank Facility Interest - M1,,FALSE
JNL1017,2,2024-07-28,ENT004,100,0.00,5200.00,-5200.00,Bank Facility Interest - M1,,FALSE
JNL1018,1,2024-07-28,ENT001,180,16000.00,0.00,16000.00,Intercompany Management Fees Charged,GROUP,TRUE
JNL1018,2,2024-07-28,ENT001,650,0.00,16000.00,-16000.00,Intercompany Management Fees Charged,GROUP,TRUE
JNL1019,1,2024-07-28,ENT002,880,10000.00,0.00,10000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1019,2,2024-07-28,ENT002,380,0.00,10000.00,-10000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1020,1,2024-07-28,ENT003,880,6000.00,0.00,6000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1020,2,2024-07-28,ENT003,380,0.00,6000.00,-6000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1021,1,2024-07-28,ENT003,180,8500.00,0.00,8500.00,Internal Logistics Billed to Draynor,ENT002,TRUE
JNL1021,2,2024-07-28,ENT003,600,0.00,8500.00,-8500.00,Internal Logistics Billed to Draynor,ENT002,TRUE
JNL1022,1,2024-07-28,ENT002,750,8500.00,0.00,8500.00,Intercompany Freight Costs,ENT003,TRUE
JNL1022,2,2024-07-28,ENT002,380,0.00,8500.00,-8500.00,Intercompany Freight Costs,ENT003,TRUE
JNL1023,1,2024-08-15,ENT001,110,162400.00,0.00,162400.00,Advisory Billings - M2,,FALSE
JNL1023,2,2024-08-15,ENT001,610,0.00,162400.00,-162400.00,Advisory Billings - M2,,FALSE
JNL1024,1,2024-08-28,ENT001,800,76125.00,0.00,76125.00,Monthly Payroll - M2,,FALSE
JNL1024,2,2024-08-28,ENT001,805,9135.00,0.00,9135.00,Monthly Payroll - M2,,FALSE
JNL1024,3,2024-08-28,ENT001,100,0.00,76125.00,-76125.00,Monthly Payroll - M2,,FALSE
JNL1024,4,2024-08-28,ENT001,330,0.00,9135.00,-9135.00,Monthly Payroll - M2,,FALSE
JNL1025,1,2024-08-28,ENT001,820,12000.00,0.00,12000.00,Operating Costs & Rent - M2,,FALSE
JNL1025,2,2024-08-28,ENT001,830,3500.00,0.00,3500.00,Operating Costs & Rent - M2,,FALSE
JNL1025,3,2024-08-28,ENT001,100,0.00,15500.00,-15500.00,Operating Costs & Rent - M2,,FALSE
JNL1026,1,2024-08-15,ENT002,100,284200.00,0.00,284200.00,Food Retailing Sales - M2,,FALSE
JNL1026,2,2024-08-15,ENT002,600,0.00,284200.00,-284200.00,Food Retailing Sales - M2,,FALSE
JNL1027,1,2024-08-15,ENT002,700,164836.00,0.00,164836.00,Produce Inventory Purchase - M2,,FALSE
JNL1027,2,2024-08-15,ENT002,100,0.00,164836.00,-164836.00,Produce Inventory Purchase - M2,,FALSE
JNL1028,1,2024-08-28,ENT002,800,45675.00,0.00,45675.00,Monthly Payroll - M2,,FALSE
JNL1028,2,2024-08-28,ENT002,805,5481.00,0.00,5481.00,Monthly Payroll - M2,,FALSE
JNL1028,3,2024-08-28,ENT002,100,0.00,45675.00,-45675.00,Monthly Payroll - M2,,FALSE
JNL1028,4,2024-08-28,ENT002,330,0.00,5481.00,-5481.00,Monthly Payroll - M2,,FALSE
JNL1029,1,2024-08-28,ENT002,820,8500.00,0.00,8500.00,Store Operating Costs - M2,,FALSE
JNL1029,2,2024-08-28,ENT002,810,4200.00,0.00,4200.00,Store Operating Costs - M2,,FALSE
JNL1029,3,2024-08-28,ENT002,100,0.00,12700.00,-12700.00,Store Operating Costs - M2,,FALSE
JNL1030,1,2024-08-15,ENT003,110,192850.00,0.00,192850.00,Freight Service Revenue - M2,,FALSE
JNL1030,2,2024-08-15,ENT003,600,0.00,192850.00,-192850.00,Freight Service Revenue - M2,,FALSE
JNL1031,1,2024-08-15,ENT003,710,53998.00,0.00,53998.00,Fleet Fuel & Maintenance - M2,,FALSE
JNL1031,2,2024-08-15,ENT003,810,6500.00,0.00,6500.00,Fleet Fuel & Maintenance - M2,,FALSE
JNL1031,3,2024-08-15,ENT003,100,0.00,60498.00,-60498.00,Fleet Fuel & Maintenance - M2,,FALSE
JNL1032,1,2024-08-28,ENT003,800,60900.00,0.00,60900.00,Driver Payroll - M2,,FALSE
JNL1032,2,2024-08-28,ENT003,805,7308.00,0.00,7308.00,Driver Payroll - M2,,FALSE
JNL1032,3,2024-08-28,ENT003,100,0.00,60900.00,-60900.00,Driver Payroll - M2,,FALSE
JNL1032,4,2024-08-28,ENT003,330,0.00,7308.00,-7308.00,Driver Payroll - M2,,FALSE
JNL1033,1,2024-08-28,ENT003,890,4500.00,0.00,4500.00,Vehicle Depreciation - M2,,FALSE
JNL1033,2,2024-08-28,ENT003,210,0.00,4500.00,-4500.00,Vehicle Depreciation - M2,,FALSE
JNL1034,1,2024-08-15,ENT004,100,25000.00,0.00,25000.00,Property Rent Collection - M2,,FALSE
JNL1034,2,2024-08-15,ENT004,620,0.00,25000.00,-25000.00,Property Rent Collection - M2,,FALSE
JNL1035,1,2024-08-28,ENT004,895,5200.00,0.00,5200.00,Bank Facility Interest - M2,,FALSE
JNL1035,2,2024-08-28,ENT004,100,0.00,5200.00,-5200.00,Bank Facility Interest - M2,,FALSE
JNL1036,1,2024-08-28,ENT001,180,16000.00,0.00,16000.00,Intercompany Management Fees Charged,GROUP,TRUE
JNL1036,2,2024-08-28,ENT001,650,0.00,16000.00,-16000.00,Intercompany Management Fees Charged,GROUP,TRUE
JNL1037,1,2024-08-28,ENT002,880,10000.00,0.00,10000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1037,2,2024-08-28,ENT002,380,0.00,10000.00,-10000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1038,1,2024-08-28,ENT003,880,6000.00,0.00,6000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1038,2,2024-08-28,ENT003,380,0.00,6000.00,-6000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1039,1,2024-08-28,ENT003,180,8500.00,0.00,8500.00,Internal Logistics Billed to Draynor,ENT002,TRUE
JNL1039,2,2024-08-28,ENT003,600,0.00,8500.00,-8500.00,Internal Logistics Billed to Draynor,ENT002,TRUE
JNL1040,1,2024-08-28,ENT002,750,8500.00,0.00,8500.00,Intercompany Freight Costs,ENT003,TRUE
JNL1040,2,2024-08-28,ENT002,380,0.00,8500.00,-8500.00,Intercompany Freight Costs,ENT003,TRUE
JNL1041,1,2024-09-15,ENT001,110,164800.00,0.00,164800.00,Advisory Billings - M3,,FALSE
JNL1041,2,2024-09-15,ENT001,610,0.00,164800.00,-164800.00,Advisory Billings - M3,,FALSE
JNL1042,1,2024-09-28,ENT001,800,77250.00,0.00,77250.00,Monthly Payroll - M3,,FALSE
JNL1042,2,2024-09-28,ENT001,805,9270.00,0.00,9270.00,Monthly Payroll - M3,,FALSE
JNL1042,3,2024-09-28,ENT001,100,0.00,77250.00,-77250.00,Monthly Payroll - M3,,FALSE
JNL1042,4,2024-09-28,ENT001,330,0.00,9270.00,-9270.00,Monthly Payroll - M3,,FALSE
JNL1043,1,2024-09-28,ENT001,820,12000.00,0.00,12000.00,Operating Costs & Rent - M3,,FALSE
JNL1043,2,2024-09-28,ENT001,830,3500.00,0.00,3500.00,Operating Costs & Rent - M3,,FALSE
JNL1043,3,2024-09-28,ENT001,100,0.00,15500.00,-15500.00,Operating Costs & Rent - M3,,FALSE
JNL1044,1,2024-09-15,ENT002,100,288400.00,0.00,288400.00,Food Retailing Sales - M3,,FALSE
JNL1044,2,2024-09-15,ENT002,600,0.00,288400.00,-288400.00,Food Retailing Sales - M3,,FALSE
JNL1045,1,2024-09-15,ENT002,700,167272.00,0.00,167272.00,Produce Inventory Purchase - M3,,FALSE
JNL1045,2,2024-09-15,ENT002,100,0.00,167272.00,-167272.00,Produce Inventory Purchase - M3,,FALSE
JNL1046,1,2024-09-28,ENT002,800,46350.00,0.00,46350.00,Monthly Payroll - M3,,FALSE
JNL1046,2,2024-09-28,ENT002,805,5562.00,0.00,5562.00,Monthly Payroll - M3,,FALSE
JNL1046,3,2024-09-28,ENT002,100,0.00,46350.00,-46350.00,Monthly Payroll - M3,,FALSE
JNL1046,4,2024-09-28,ENT002,330,0.00,5562.00,-5562.00,Monthly Payroll - M3,,FALSE
JNL1047,1,2024-09-28,ENT002,820,8500.00,0.00,8500.00,Store Operating Costs - M3,,FALSE
JNL1047,2,2024-09-28,ENT002,810,4200.00,0.00,4200.00,Store Operating Costs - M3,,FALSE
JNL1047,3,2024-09-28,ENT002,100,0.00,12700.00,-12700.00,Store Operating Costs - M3,,FALSE
JNL1048,1,2024-09-15,ENT003,110,195700.00,0.00,195700.00,Freight Service Revenue - M3,,FALSE
JNL1048,2,2024-09-15,ENT003,600,0.00,195700.00,-195700.00,Freight Service Revenue - M3,,FALSE
JNL1049,1,2024-09-15,ENT003,710,54796.00,0.00,54796.00,Fleet Fuel & Maintenance - M3,,FALSE
JNL1049,2,2024-09-15,ENT003,810,6500.00,0.00,6500.00,Fleet Fuel & Maintenance - M3,,FALSE
JNL1049,3,2024-09-15,ENT003,100,0.00,61296.00,-61296.00,Fleet Fuel & Maintenance - M3,,FALSE
JNL1050,1,2024-09-28,ENT003,800,61800.00,0.00,61800.00,Driver Payroll - M3,,FALSE
JNL1050,2,2024-09-28,ENT003,805,7416.00,0.00,7416.00,Driver Payroll - M3,,FALSE
JNL1050,3,2024-09-28,ENT003,100,0.00,61800.00,-61800.00,Driver Payroll - M3,,FALSE
JNL1050,4,2024-09-28,ENT003,330,0.00,7416.00,-7416.00,Driver Payroll - M3,,FALSE
JNL1051,1,2024-09-28,ENT003,890,4500.00,0.00,4500.00,Vehicle Depreciation - M3,,FALSE
JNL1051,2,2024-09-28,ENT003,210,0.00,4500.00,-4500.00,Vehicle Depreciation - M3,,FALSE
JNL1052,1,2024-09-15,ENT004,100,25000.00,0.00,25000.00,Property Rent Collection - M3,,FALSE
JNL1052,2,2024-09-15,ENT004,620,0.00,25000.00,-25000.00,Property Rent Collection - M3,,FALSE
JNL1053,1,2024-09-28,ENT004,895,5200.00,0.00,5200.00,Bank Facility Interest - M3,,FALSE
JNL1053,2,2024-09-28,ENT004,100,0.00,5200.00,-5200.00,Bank Facility Interest - M3,,FALSE
JNL1054,1,2024-09-28,ENT001,180,16000.00,0.00,16000.00,Intercompany Management Fees Charged,GROUP,TRUE
JNL1054,2,2024-09-28,ENT001,650,0.00,16000.00,-16000.00,Intercompany Management Fees Charged,GROUP,TRUE
JNL1055,1,2024-09-28,ENT002,880,10000.00,0.00,10000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1055,2,2024-09-28,ENT002,380,0.00,10000.00,-10000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1056,1,2024-09-28,ENT003,880,6000.00,0.00,6000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1056,2,2024-09-28,ENT003,380,0.00,6000.00,-6000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1057,1,2024-09-28,ENT003,180,8500.00,0.00,8500.00,Internal Logistics Billed to Draynor,ENT002,TRUE
JNL1057,2,2024-09-28,ENT003,600,0.00,8500.00,-8500.00,Internal Logistics Billed to Draynor,ENT002,TRUE
JNL1058,1,2024-09-28,ENT002,750,8500.00,0.00,8500.00,Intercompany Freight Costs,ENT003,TRUE
JNL1058,2,2024-09-28,ENT002,380,0.00,8500.00,-8500.00,Intercompany Freight Costs,ENT003,TRUE
JNL1059,1,2024-10-15,ENT001,110,167200.00,0.00,167200.00,Advisory Billings - M4,,FALSE
JNL1059,2,2024-10-15,ENT001,610,0.00,167200.00,-167200.00,Advisory Billings - M4,,FALSE
JNL1060,1,2024-10-28,ENT001,800,78375.00,0.00,78375.00,Monthly Payroll - M4,,FALSE
JNL1060,2,2024-10-28,ENT001,805,9405.00,0.00,9405.00,Monthly Payroll - M4,,FALSE
JNL1060,3,2024-10-28,ENT001,100,0.00,78375.00,-78375.00,Monthly Payroll - M4,,FALSE
JNL1060,4,2024-10-28,ENT001,330,0.00,9405.00,-9405.00,Monthly Payroll - M4,,FALSE
JNL1061,1,2024-10-28,ENT001,820,12000.00,0.00,12000.00,Operating Costs & Rent - M4,,FALSE
JNL1061,2,2024-10-28,ENT001,830,3500.00,0.00,3500.00,Operating Costs & Rent - M4,,FALSE
JNL1061,3,2024-10-28,ENT001,100,0.00,15500.00,-15500.00,Operating Costs & Rent - M4,,FALSE
JNL1062,1,2024-10-15,ENT002,100,292600.00,0.00,292600.00,Food Retailing Sales - M4,,FALSE
JNL1062,2,2024-10-15,ENT002,600,0.00,292600.00,-292600.00,Food Retailing Sales - M4,,FALSE
JNL1063,1,2024-10-15,ENT002,700,169708.00,0.00,169708.00,Produce Inventory Purchase - M4,,FALSE
JNL1063,2,2024-10-15,ENT002,100,0.00,169708.00,-169708.00,Produce Inventory Purchase - M4,,FALSE
JNL1064,1,2024-10-28,ENT002,800,47025.00,0.00,47025.00,Monthly Payroll - M4,,FALSE
JNL1064,2,2024-10-28,ENT002,805,5643.00,0.00,5643.00,Monthly Payroll - M4,,FALSE
JNL1064,3,2024-10-28,ENT002,100,0.00,47025.00,-47025.00,Monthly Payroll - M4,,FALSE
JNL1064,4,2024-10-28,ENT002,330,0.00,5643.00,-5643.00,Monthly Payroll - M4,,FALSE
JNL1065,1,2024-10-28,ENT002,820,8500.00,0.00,8500.00,Store Operating Costs - M4,,FALSE
JNL1065,2,2024-10-28,ENT002,810,4200.00,0.00,4200.00,Store Operating Costs - M4,,FALSE
JNL1065,3,2024-10-28,ENT002,100,0.00,12700.00,-12700.00,Store Operating Costs - M4,,FALSE
JNL1066,1,2024-10-15,ENT003,110,198550.00,0.00,198550.00,Freight Service Revenue - M4,,FALSE
JNL1066,2,2024-10-15,ENT003,600,0.00,198550.00,-198550.00,Freight Service Revenue - M4,,FALSE
JNL1067,1,2024-10-15,ENT003,710,55594.00,0.00,55594.00,Fleet Fuel & Maintenance - M4,,FALSE
JNL1067,2,2024-10-15,ENT003,810,6500.00,0.00,6500.00,Fleet Fuel & Maintenance - M4,,FALSE
JNL1067,3,2024-10-15,ENT003,100,0.00,62094.00,-62094.00,Fleet Fuel & Maintenance - M4,,FALSE
JNL1068,1,2024-10-28,ENT003,800,62700.00,0.00,62700.00,Driver Payroll - M4,,FALSE
JNL1068,2,2024-10-28,ENT003,805,7524.00,0.00,7524.00,Driver Payroll - M4,,FALSE
JNL1068,3,2024-10-28,ENT003,100,0.00,62700.00,-62700.00,Driver Payroll - M4,,FALSE
JNL1068,4,2024-10-28,ENT003,330,0.00,7524.00,-7524.00,Driver Payroll - M4,,FALSE
JNL1069,1,2024-10-28,ENT003,890,4500.00,0.00,4500.00,Vehicle Depreciation - M4,,FALSE
JNL1069,2,2024-10-28,ENT003,210,0.00,4500.00,-4500.00,Vehicle Depreciation - M4,,FALSE
JNL1070,1,2024-10-15,ENT004,100,25000.00,0.00,25000.00,Property Rent Collection - M4,,FALSE
JNL1070,2,2024-10-15,ENT004,620,0.00,25000.00,-25000.00,Property Rent Collection - M4,,FALSE
JNL1071,1,2024-10-28,ENT004,895,5200.00,0.00,5200.00,Bank Facility Interest - M4,,FALSE
JNL1071,2,2024-10-28,ENT004,100,0.00,5200.00,-5200.00,Bank Facility Interest - M4,,FALSE
JNL1072,1,2024-10-28,ENT001,180,16000.00,0.00,16000.00,Intercompany Management Fees Charged,GROUP,TRUE
JNL1072,2,2024-10-28,ENT001,650,0.00,16000.00,-16000.00,Intercompany Management Fees Charged,GROUP,TRUE
JNL1073,1,2024-10-28,ENT002,880,10000.00,0.00,10000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1073,2,2024-10-28,ENT002,380,0.00,10000.00,-10000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1074,1,2024-10-28,ENT003,880,6000.00,0.00,6000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1074,2,2024-10-28,ENT003,380,0.00,6000.00,-6000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1075,1,2024-10-28,ENT003,180,8500.00,0.00,8500.00,Internal Logistics Billed to Draynor,ENT002,TRUE
JNL1075,2,2024-10-28,ENT003,600,0.00,8500.00,-8500.00,Internal Logistics Billed to Draynor,ENT002,TRUE
JNL1076,1,2024-10-28,ENT002,750,8500.00,0.00,8500.00,Intercompany Freight Costs,ENT003,TRUE
JNL1076,2,2024-10-28,ENT002,380,0.00,8500.00,-8500.00,Intercompany Freight Costs,ENT003,TRUE
JNL1077,1,2024-11-15,ENT001,110,169600.00,0.00,169600.00,Advisory Billings - M5,,FALSE
JNL1077,2,2024-11-15,ENT001,610,0.00,169600.00,-169600.00,Advisory Billings - M5,,FALSE
JNL1078,1,2024-11-28,ENT001,800,79500.00,0.00,79500.00,Monthly Payroll - M5,,FALSE
JNL1078,2,2024-11-28,ENT001,805,9540.00,0.00,9540.00,Monthly Payroll - M5,,FALSE
JNL1078,3,2024-11-28,ENT001,100,0.00,79500.00,-79500.00,Monthly Payroll - M5,,FALSE
JNL1078,4,2024-11-28,ENT001,330,0.00,9540.00,-9540.00,Monthly Payroll - M5,,FALSE
JNL1079,1,2024-11-28,ENT001,820,12000.00,0.00,12000.00,Operating Costs & Rent - M5,,FALSE
JNL1079,2,2024-11-28,ENT001,830,3500.00,0.00,3500.00,Operating Costs & Rent - M5,,FALSE
JNL1079,3,2024-11-28,ENT001,100,0.00,15500.00,-15500.00,Operating Costs & Rent - M5,,FALSE
JNL1080,1,2024-11-15,ENT002,100,296800.00,0.00,296800.00,Food Retailing Sales - M5,,FALSE
JNL1080,2,2024-11-15,ENT002,600,0.00,296800.00,-296800.00,Food Retailing Sales - M5,,FALSE
JNL1081,1,2024-11-15,ENT002,700,172144.00,0.00,172144.00,Produce Inventory Purchase - M5,,FALSE
JNL1081,2,2024-11-15,ENT002,100,0.00,172144.00,-172144.00,Produce Inventory Purchase - M5,,FALSE
JNL1082,1,2024-11-28,ENT002,800,47700.00,0.00,47700.00,Monthly Payroll - M5,,FALSE
JNL1082,2,2024-11-28,ENT002,805,5724.00,0.00,5724.00,Monthly Payroll - M5,,FALSE
JNL1082,3,2024-11-28,ENT002,100,0.00,47700.00,-47700.00,Monthly Payroll - M5,,FALSE
JNL1082,4,2024-11-28,ENT002,330,0.00,5724.00,-5724.00,Monthly Payroll - M5,,FALSE
JNL1083,1,2024-11-28,ENT002,820,8500.00,0.00,8500.00,Store Operating Costs - M5,,FALSE
JNL1083,2,2024-11-28,ENT002,810,4200.00,0.00,4200.00,Store Operating Costs - M5,,FALSE
JNL1083,3,2024-11-28,ENT002,100,0.00,12700.00,-12700.00,Store Operating Costs - M5,,FALSE
JNL1084,1,2024-11-15,ENT003,110,201400.00,0.00,201400.00,Freight Service Revenue - M5,,FALSE
JNL1084,2,2024-11-15,ENT003,600,0.00,201400.00,-201400.00,Freight Service Revenue - M5,,FALSE
JNL1085,1,2024-11-15,ENT003,710,56392.00,0.00,56392.00,Fleet Fuel & Maintenance - M5,,FALSE
JNL1085,2,2024-11-15,ENT003,810,6500.00,0.00,6500.00,Fleet Fuel & Maintenance - M5,,FALSE
JNL1085,3,2024-11-15,ENT003,100,0.00,62892.00,-62892.00,Fleet Fuel & Maintenance - M5,,FALSE
JNL1086,1,2024-11-28,ENT003,800,63600.00,0.00,63600.00,Driver Payroll - M5,,FALSE
JNL1086,2,2024-11-28,ENT003,805,7632.00,0.00,7632.00,Driver Payroll - M5,,FALSE
JNL1086,3,2024-11-28,ENT003,100,0.00,63600.00,-63600.00,Driver Payroll - M5,,FALSE
JNL1086,4,2024-11-28,ENT003,330,0.00,7632.00,-7632.00,Driver Payroll - M5,,FALSE
JNL1087,1,2024-11-28,ENT003,890,4500.00,0.00,4500.00,Vehicle Depreciation - M5,,FALSE
JNL1087,2,2024-11-28,ENT003,210,0.00,4500.00,-4500.00,Vehicle Depreciation - M5,,FALSE
JNL1088,1,2024-11-15,ENT004,100,25000.00,0.00,25000.00,Property Rent Collection - M5,,FALSE
JNL1088,2,2024-11-15,ENT004,620,0.00,25000.00,-25000.00,Property Rent Collection - M5,,FALSE
JNL1089,1,2024-11-28,ENT004,895,5200.00,0.00,5200.00,Bank Facility Interest - M5,,FALSE
JNL1089,2,2024-11-28,ENT004,100,0.00,5200.00,-5200.00,Bank Facility Interest - M5,,FALSE
JNL1090,1,2024-11-28,ENT001,180,16000.00,0.00,16000.00,Intercompany Management Fees Charged,GROUP,TRUE
JNL1090,2,2024-11-28,ENT001,650,0.00,16000.00,-16000.00,Intercompany Management Fees Charged,GROUP,TRUE
JNL1091,1,2024-11-28,ENT002,880,10000.00,0.00,10000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1091,2,2024-11-28,ENT002,380,0.00,10000.00,-10000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1092,1,2024-11-28,ENT003,880,6000.00,0.00,6000.00,Intercompany Management Fee Incurred,ENT001,TRUE
JNL1092,2,2024-11-28,ENT003,380,0.00,6000.00,-6000.00,Intercompany Management Fee Incurred,ENT001,TRUE
