PeriodDate,EntityID,AccountCode,BudgetAmount
2025-04-01,ENT001,800,78000.00
2025-04-01,ENT001,805,9360.00
2025-04-01,ENT002,600,300000.00
2025-04-01,ENT002,700,170000.00
2025-04-01,ENT002,800,48000.00
2025-04-01,ENT003,600,210000.00
2025-04-01,ENT003,710,58000.00
2025-04-01,ENT003,800,62000.00
2025-04-01,ENT004,620,25000.00
2025-04-01,ENT004,895,5000.00
2025-05-01,ENT001,610,175000.00
2025-05-01,ENT001,800,78000.00
2025-05-01,ENT001,805,9360.00
2025-05-01,ENT002,600,300000.00
2025-05-01,ENT002,700,170000.00
2025-05-01,ENT002,800,48000.00
2025-05-01,ENT003,600,210000.00
2025-05-01,ENT003,710,58000.00
2025-05-01,ENT003,800,62000.00
2025-05-01,ENT004,620,25000.00
2025-05-01,ENT004,895,5000.00
2025-06-01,ENT001,610,175000.00
2025-06-01,ENT001,800,78000.00
2025-06-01,ENT001,805,9360.00
2025-06-01,ENT002,600,300000.00
2025-06-01,ENT002,700,170000.00
2025-06-01,ENT002,800,48000.00
2025-06-01,ENT003,600,210000.00
2025-06-01,ENT003,710,58000.00
2025-06-01,ENT003,800,62000.00
2025-06-01,ENT004,620,25000.00
2025-06-01,ENT004,895,5000.00
2025-07-01,ENT001,610,175000.00
2025-07-01,ENT001,800,78000.00
2025-07-01,ENT001,805,9360.00
2025-07-01,ENT002,600,300000.00
2025-07-01,ENT002,700,170000.00
2025-07-01,ENT002,800,48000.00
2025-07-01,ENT003,600,210000.00
2025-07-01,ENT003,710,58000.00
2025-07-01,ENT003,800,62000.00
2025-07-01,ENT004,620,25000.00
2025-07-01,ENT004,895,5000.00
2025-08-01,ENT001,610,175000.00
2025-08-01,ENT001,800,78000.00
2025-08-01,ENT001,805,9360.00
2025-08-01,ENT002,600,300000.00
2025-08-01,ENT002,700,170000.00
2025-08-01,ENT002,800,48000.00
2025-08-01,ENT003,600,210000.00
2025-08-01,ENT003,710,58000.00
2025-08-01,ENT003,800,62000.00
2025-08-01,ENT004,620,25000.00
2025-08-01,ENT004,895,5000.00
2025-09-01,ENT001,610,175000.00
2025-09-01,ENT001,800,78000.00
2025-09-01,ENT001,805,9360.00
2025-09-01,ENT002,600,300000.00
2025-09-01,ENT002,700,170000.00
2025-09-01,ENT002,800,48000.00
2025-09-01,ENT003,600,210000.00
2025-09-01,ENT003,710,58000.00
2025-09-01,ENT003,800,62000.00
2025-09-01,ENT004,620,25000.00
2025-09-01,ENT004,895,5000.00
2025-10-01,ENT001,610,175000.00
2025-10-01,ENT001,800,78000.00
2025-10-01,ENT001,805,9360.00
2025-10-01,ENT002,600,300000.00
2025-10-01,ENT002,700,170000.00
2025-10-01,ENT002,800,48000.00
2025-10-01,ENT003,600,210000.00
2025-10-01,ENT003,710,58000.00
2025-10-01,ENT003,800,62000.00
2025-10-01,ENT004,620,25000.00
2025-10-01,ENT004,895,5000.00
2025-11-01,ENT001,610,175000.00
2025-11-01,ENT001,800,78000.00
2025-11-01,ENT001,805,9360.00
2025-11-01,ENT002,600,300000.00
2025-11-01,ENT002,700,170000.00
2025-11-01,ENT002,800,48000.00
2025-11-01,ENT003,600,210000.00
2025-11-01,ENT003,710,58000.00
2025-11-01,ENT003,800,62000.00
2025-11-01,ENT004,620,25000.00
2025-11-01,ENT004,895,5000.00
2025-12-01,ENT001,610,175000.00
2025-12-01,ENT001,800,78000.00
2025-12-01,ENT001,805,9360.00
2025-12-01,ENT002,600,300000.00
2025-12-01,ENT002,700,170000.00
2025-12-01,ENT002,800,48000.00
2025-12-01,ENT003,600,210000.00
2025-12-01,ENT003,710,58000.00
2025-12-01,ENT003,800,62000.00
2025-12-01,ENT004,620,25000.00
2025-12-01,ENT004,895,5000.00
2026-01-01,ENT001,610,175000.00
2026-01-01,ENT001,800,78000.00
2026-01-01,ENT001,805,9360.00
2026-01-01,ENT002,600,300000.00
2026-01-01,ENT002,700,170000.00
2026-01-01,ENT002,800,48000.00
2026-01-01,ENT003,600,210000.00
2026-01-01,ENT003,710,58000.00
2026-01-01,ENT003,800,62000.00
2026-01-01,ENT004,620,25000.00
2026-01-01,ENT004,895,5000.00
2026-02-01,ENT001,610,175000.00
2026-02-01,ENT001,800,78000.00
2026-02-01,ENT001,805,9360.00
2026-02-01,ENT002,600,300000.00
2026-02-01,ENT002,700,170000.00
2026-02-01,ENT002,800,48000.00
2026-02-01,ENT003,600,210000.00
2026-02-01,ENT003,710,58000.00
2026-02-01,ENT003,800,62000.00
2026-02-01,ENT004,620,25000.00
2026-02-01,ENT004,895,5000.00
2026-03-01,ENT001,610,175000.00
2026-03-01,ENT001,800,78000.00
2026-03-01,ENT001,805,9360.00
2026-03-01,ENT002,600,300000.00
2026-03-01,ENT002,700,170000.00
2026-03-01,ENT002,800,48000.00
2026-03-01,ENT003,600,210000.00
2026-03-01,ENT003,710,58000.00
2026-03-01,ENT003,800,62000.00
2026-03-01,ENT004,620,25000.00
2026-03-01,ENT004,895,5000.00
2026-04-01,ENT001,610,175000.00
2026-04-01,ENT001,800,78000.00
2026-04-01,ENT001,805,9360.00
2026-04-01,ENT002,600,300000.00
2026-04-01,ENT002,700,170000.00
2026-04-01,ENT002,800,48000.00
2026-04-01,ENT003,600,210000.00
2026-04-01,ENT003,710,58000.00
2026-04-01,ENT003,800,62000.00
2026-04-01,ENT004,620,25000.00
2026-04-01,ENT004,895,5000.00
2026-05-01,ENT001,610,175000.00
2026-05-01,ENT001,800,78000.00
2026-05-01,ENT001,805,9360.00
2026-05-01,ENT002,600,300000.00
2026-05-01,ENT002,700,170000.00
2026-05-01,ENT002,800,48000.00
2026-05-01,ENT003,600,210000.00
2026-05-01,ENT003,710,58000.00
2026-05-01,ENT003,800,62000.00
2026-05-01,ENT004,620,25000.00
2026-05-01,ENT004,895,5000.00
2026-06-01,ENT001,610,175000.00
2026-06-01,ENT001,800,78000.00
2026-06-01,ENT001,805,9360.00
2026-06-01,ENT002,600,300000.00
2026-06-01,ENT002,700,170000.00
2026-06-01,ENT002,800,48000.00
2026-06-01,ENT003,600,210000.00
2026-06-01,ENT003,710,58000.00
2026-06-01,ENT003,800,62000.00
2026-06-01,ENT004,620,25000.00
2026-06-01,ENT004,895,5000.00
2026-07-01,ENT001,610,175000.00
2026-07-01,ENT001,800,78000.00
2026-07-01,ENT001,805,9360.00
2026-07-01,ENT002,600,300000.00
2026-07-01,ENT002,700,170000.00
2026-07-01,ENT002,800,48000.00
2026-07-01,ENT003,600,210000.00
2026-07-01,ENT003,710,58000.00
2026-07-01,ENT003,800,62000.00
2026-07-01,ENT004,620,25000.00
2026-07-01,ENT004,895,5000.00
2026-08-01,ENT001,610,175000.00
2026-08-01,ENT001,800,78000.00
2026-08-01,ENT001,805,9360.00
2026-08-01,ENT002,600,300000.00
2026-08-01,ENT002,700,170000.00
2026-08-01,ENT002,800,48000.00
2026-08-01,ENT003,600,210000.00
2026-08-01,ENT003,710,58000.00
2026-08-01,ENT003,800,62000.00
2026-08-01,ENT004,620,25000.00
2026-08-01,ENT004,895,5000.00
2026-09-01,ENT001,610,175000.00
2026-09-01,ENT001,800,78000.00
2026-09-01,ENT001,805,9360.00
2026-09-01,ENT002,600,300000.00
2026-09-01,ENT002,700,170000.00
2026-09-01,ENT002,800,48000.00
2026-09-01,ENT003,600,210000.00
2026-09-01,ENT003,710,58000.00
2026-09-01,ENT003,800,62000.00
2026-09-01,ENT004,620,25000.00
2026-09-01,ENT004,895,5000.00
2026-10-01,ENT001,610,175000.00
2026-10-01,ENT001,800,78000.00
2026-10-01,ENT001,805,9360.00
2026-10-01,ENT002,600,300000.00
2026-10-01,ENT002,700,170000.00
2026-10-01,ENT002,800,48000.00
2026-10-01,ENT003,600,210000.00
2026-10-01,ENT003,710,58000.00
2026-10-01,ENT003,800,62000.00
2026-10-01,ENT004,620,25000.00
2026-10-01,ENT004,895,5000.00
2026-11-01,ENT001,610,175000.00
2026-11-01,ENT001,800,78000.00
2026-11-01,ENT001,805,9360.00
2026-11-01,ENT002,600,300000.00
2026-11-01,ENT002,700,170000.00
2026-11-01,ENT002,800,48000.00
2026-11-01,ENT003,600,210000.00
2026-11-01,ENT003,710,58000.00
2026-11-01,ENT003,800,62000.00
2026-11-01,ENT004,620,25000.00
2026-11-01,ENT004,895,5000.00
2026-12-01,ENT001,610,175000.00
2026-12-01,ENT001,800,78000.00
2026-12-01,ENT001,805,9360.00
2026-12-01,ENT002,600,300000.00
2026-12-01,ENT002,700,170000.00
2026-12-01,ENT002,800,48000.00
2026-12-01,ENT003,600,210000.00
2026-12-01,ENT003,710,58000.00
2026-12-01,ENT003,800,62000.00
2026-12-01,ENT004,620,25000.00
2026-12-01,ENT004,895,5000.00
2027-01-01,ENT001,610,175000.00
2027-01-01,ENT001,800,78000.00
2027-01-01,ENT001,805,9360.00
2027-01-01,ENT002,600,300000.00
2027-01-01,ENT002,700,170000.00
2027-01-01,ENT002,800,48000.00
2027-01-01,ENT003,600,210000.00
2027-01-01,ENT003,710,58000.00
2027-01-01,ENT003,800,62000.00
2027-01-01,ENT004,620,25000.00
2027-01-01,ENT004,895,5000.00
2027-02-01,ENT001,610,175000.00
2027-02-01,ENT001,800,78000.00
2027-02-01,ENT001,805,9360.00
2027-02-01,ENT002,600,300000.00
2027-02-01,ENT002,700,170000.00
2027-02-01,ENT002,800,48000.00
2027-02-01,ENT003,600,210000.00
2027-02-01,ENT003,710,58000.00
2027-02-01,ENT003,800,62000.00
2027-02-01,ENT004,620,25000.00
2027-02-01,ENT004,895,5000.00
2027-03-01,ENT001,610,175000.00
2027-03-01,ENT001,800,78000.00
2027-03-01,ENT001,805,9360.00
2027-03-01,ENT002,600,300000.00
2027-03-01,ENT002,700,170000.00
2027-03-01,ENT002,800,48000.00
2027-03-01,ENT003,600,210000.00
2027-03-01,ENT003,710,58000.00
2027-03-01,ENT003,800,62000.00
2027-03-01,ENT004,620,25000.00
2027-03-01,ENT004,895,5000.00
2027-04-01,ENT001,610,175000.00
2027-04-01,ENT001,800,78000.00
2027-04-01,ENT001,805,9360.00
2027-04-01,ENT002,600,300000.00
2027-04-01,ENT002,700,170000.00
2027-04-01,ENT002,800,48000.00
2027-04-01,ENT003,600,210000.00
2027-04-01,ENT003,710,58000.00
2027-04-01,ENT003,800,62000.00
2027-04-01,ENT004,620,25000.00
2027-04-01,ENT004,895,5000.00
2027-05-01,ENT001,610,175000.00
2027-05-01,ENT001,800,78000.00
2027-05-01,ENT001,805,9360.00
2027-05-01,ENT002,600,300000.00
2027-05-01,ENT002,700,170000.00
2027-05-01,ENT002,800,48000.00
2027-05-01,ENT003,600,210000.00
2027-05-01,ENT003,710,58000.00
2027-05-01,ENT003,800,62000.00
2027-05-01,ENT004,620,25000.00
2027-05-01,ENT004,895,5000.00
2027-06-01,ENT001,610,175000.00
2027-06-01,ENT001,800,78000.00
2027-06-01,ENT001,805,9360.00
2027-06-01,ENT002,600,300000.00
2027-06-01,ENT002,700,170000.00
2027-06-01,ENT002,800,48000.00
2027-06-01,ENT003,600,210000.00
2027-06-01,ENT003,710,58000.00
2027-06-01,ENT003,800,62000.00
2027-06-01,ENT004,620,25000.00
2027-06-01,ENT004,895,5000.00
